about;name;Organisation_oGRN;Organisation_ChildOrganisations;Organisation_Roles
a12116c4f1724adeb3df8070f517cdeb;Сафоновский электромашиностроительный завод;;;
7ed41f6390564e72a0fbe2c508994951;Завод имени Готвальда (ЧССР);;;
573fa091a7324d47a6ac21ac68054bb7;АО «Сафьяновская медь»;1026601688728;;
4733ea7de5fb4ec78d142c10e2ed61a4;АО «Транснефть - Западная Сибирь»;1025500514489;40cbc2f533da4e33b441657d9b1099be;
545c5c0a0a414bd7a9948ae4df6fa7a4;ООО «Хевел РГ»;1130280039944;;
080efb93f2d642d7959f757e8ed0a134;ООО «Каргилл Новоаннинский»;1073457001640;;
abce4bf5bf7b4f9f8524613e4b655961;КЭМОНТ;;;
8634a590c8d746c7b57818970445cadf;Areva;;;
473bd0721677404789a5fc4075af334d;"ООО ""Сименс Трансформаторы""";;;
cc47ea10f65d4ba5abbde8cf65e7f3a1;Нальчикский завод высоковольтной аппаратуры (НЗВА);;;
cc71d728f3df4cc385c6d5e842e46b46;Великолукский завод электротехнического фарфора (ВЗЭФ);;;
0bc52b54c5dd42808d9dcd4970cddf84;ООО «Синергия»;1176658053241;;
1e3c09f2235945909c11d074c934b79d;ПАО «НЗХК»;1025403903722;;
e6484ec181e14f35bdcc94eef50c141d;Криворожский электромашиностроительный завод (КЭМЗ);;;
a501d83903884df18d9f2c994397f3d6;Центральный ремонтно-механический завод (ЦРМЗ);;;
a99469521b084d9ababfc84d3875b824;Филиал АО «Группа «Илим» в г.Братске;5067847380189;;
c795b6b69b824b2c9840912c882540d8;Филиал ПАО «Россети Центр и Приволжье» - «Владимирэнерго»;1023303354910;;
75efbca35c894e668fee6e790673afbe;Филиал ООО «Газпром трансгаз Санкт-Петербург» Торжокское ЛПУМГ;;;
9634c4ccc18346e1b19217672a351228;АО «Горэлектросеть»;1185835018214;;
f8174188a492422ca345704a2d1f9513;ABB;;;
06e328bd3b564ead98fb808804ccee55;Филиал АО «РЭС» Черепановские электрические сети;1045402509437;;
1642a0b5ee2c48c3b42d3597707cb884;ООО «АГК-1»;1167746544657;;
ec4cc10c11cb45fca4c79ea4c8194d83;АО ПТФК «Завод транспортного электрооборудования»;1141674001545;;
4e17f539c6dd441cb6e19b7d24747e7e;ООО «ЭУ»;1106603000162;;
6a58132a6b3b42258cf16897ad57a65d;ООО «Актив»;1197746535315;;
041fcd7eded648ada4221f261019fb7e;Филиал ПАО «Россети Центр» – «Костромаэнерго»;1024400527601;;
527222ce372840f2a94fb4ff4bb7648b;АО «Свет»;1149102090730;;
b9603a05b7d949a2ae034a099bc797be;ООО «КЭСКО»;1102468021787;;
236e4e72f2f14b6c84146275c190f3cd;Харьковский завод транспортного машиностроения (ХЗТМ);;;
5b654eb85092431188578a66881855af;ОАО «РУСАЛ Новокузнецк»;1024201821093;5b654eb85092431188578a66881855af;
4d66a786e64f448fb77d9ecf9fa307c0;Бакинский завод высоковольтного электрооборудования;;;
15cccdd16c804c3098070fddaeb2e42c;ООО «РЭС-Энерго»;1222100006853;;
ab82962ed5ad49238438d4044d1fdb44;АО «Солнечный ветер»;1143702019086;;
a6a6d0cf5fb9443694a0b06f8e90b08d;ООО «Ульяновская воздушно-кабельная сеть»;1157325005914;;
9feae4efaa70483181650c10f430a547;ПАО «КГК»;1064501172416;;
f909dbc43d5c4005b753d5b06388c417;ОАО «Тыретский Солерудник»;1073814000150;;
