about;name;OrganisationRole_Objects
36b902b48b7344f18f2245bedb1f1030;Владение ГУП ДНР РЭК;
90f73eb57e7145c9a43e3cc32a0b297a;Владение ООО «Газпромнефть Энергосистемы»;
7add55477f124957887656234d9cbb30;Владение Филиал ПАО «Россети Сибирь» - «Читаэнерго»;
66a7d0e6889a4ab7b455c395ed406e0b;Владение ООО «Стандарт спирт»;
c3a53505044e4d89bcdac11ae8c77cda;Владение АО «ПНТЗ»;
5b373322aad846ea99481ea7a63da154;Владение ЗАО «Фотон»;
4179af1c7cb841a8b3026ce397f8a312;Владение ПАО «ОДК-Кузнецов»;
5d69c9812f45427b8d80d8b0b7b549f6;Владение AО «Дальтрансуголь»;
3b07ff097f084bdba29831fc3c92a997;Владение ООО «Ситиэнерго»;
b2fcc660ab274a0c978c72ebc2802695;Владение ООО «Буинский сахар»;
1069124bd4134f17b5260bd0d5fc23a9;Владение АО «НК НПЗ»;
5d5fbc5c5b034756b13044cce5c83680;Владение АО «Инфраструктурные проекты»;
322cc4fb01f94c40bbe383f2365f7eb8;Владение ФКП «НПО «КЗТМ»;
63056108545f4776bd310632193b6bb0;Владение АО «РЭС»;
34484ee2a82a40bea5a2490239e7ae30;Владение ООО «ПС Электродная»;
4bb2f1cf8b6a4093b1ee1eaead54fe5d;Владение МУП «Горводоканал г. Волгоград»;
7a89e59ff9c54e88b077b5032f50af64;Владение АО «Орский машиностроительный завод»;
749f44880c8b4afb93e9373e2958bd5d;Владение Филиал ПАО «Россети Сибирь» – «Кузбассэнерго – РЭС»;
620c0edbf45d45e3bfe8911b6f399991;Владение ООО «КраМЗ-ТЕЛЕКОМ»;
0c75a0bf78b84bc79ddbce7dd1e5dd57;Владение ООО «Термомеханика»;
662046e8acb649599d4c2909daa7cda7;Владение ООО «РН-Комсомольский НПЗ»;
ff011d41e33a4c499f5191cff5215938;Владение ООО «Каскад-Энергосбыт»;
74df87f0a1c94ed1a84922316e816b24;Владение ООО «КЛЗ»;
57a5f124a8634c88b7cb302d6e74dc03;Владение АО «Малышевское рудоуправление»;
f3ba80ad6c2445e2b2ffd6d583af7cca;Владение АО «Стойленский ГОК»;
301c86b88bbf44aeb0044b3ecf0122dc;Владение АО «Кондопожский ЦБК»;
c712fb9ce73d4b639c0a75c7ce46764e;Владение ООО «ТГКом»;
3faf216a876340a7938ce37929fca065;Владение ГУП ДНР «Энергия Донбасса»;
