about;name;so_PSRType_AssetTypes
0d9c59a8776d4fec8bb4a5cffe3f46ee;DGBP60/20;fd7b5f1d179e4d83a393b8d56c7c8549
647bbe0753fd4acabc3124270a1fee3b;РГ.2-110.II/1000-40 УХЛ1;0c4b941ca4dc4187a15bcedca045212b
10000cfe00000000c0000000006d746c;Втычные контакты;0c4b941ca4dc4187a15bcedca045212b
18cd030823354d388e5196358d8a3184;ВДТ;
b71c2581bb1a4a47aa7fb6b2101e0fe5;ЛРНТ;
8f5d382a1a444ecfa6cffbf1f2b49d82;Статический генератор реактивной мощности;fd97251d217d4dd28be8b3e7b276788a
1000114f00000000c0000000006d746c;Выкатной разъединитель;0c4b941ca4dc4187a15bcedca045212b
1998c4772fd443ffb711478497c2649a;элегазовый выключатель;937f70ca22af443aa5d7ca192a98bf78
100015d300000000c0000000006d746c;Коммутационный модуль высокого профиля;937f70ca22af443aa5d7ca192a98bf78
d390d3aac9324ea29fedc2eb2f4a58c7;Двухгрупповая тиристорная система независимого возбуждения;ee85aea934b742d6990d115a884a6334
eb7b0040521d4b3e9247803d9584637b;Комбинированная система возбуждения;ee85aea934b742d6990d115a884a6334
96aebb9eb1da4ffe8e06ccca7ad0a695;Одногрупповая смешанного самовозбуждения;ee85aea934b742d6990d115a884a6334
54e4abdebbc64f51adcdb66735def494;РПН;
10000ccc00000000c0000000006d746c;Токоограничивающий реактор;8501025c4a924617acb1ff2e0567c99a
7e194424dc9e41d78ab873a0d84d5b5e;Выключатель нагрузки;937f70ca22af443aa5d7ca192a98bf78
fa91a66f45974173abe58f9092afb61b;ТАМГ-2500/110/6;9f826625a1b2470e84e90981d16aea03
10000cf200000000c0000000006d746c;Воздушный участок ЛЭП;
7a5c176bb159471c919950992651f5ff;СТС-2П-210-1900-2,5 ;ee85aea934b742d6990d115a884a6334
c6bc2b92c9ae47d3b8b17bf7a7c5e509;Газотурбинная электростанция;
e8ba83ca10f04ad2897e9f2c8b850e16;Устройство возбудительное бесщеточное серии БВУГ;ee85aea934b742d6990d115a884a6334
577c9df5c3ff431b890729138adbc88e;Асинхронный с фазным ротором и дополнительным сопротивлением в цепи ротора;
f28fe48abc124f46b017ea6263cccdc5;Электромашинная система возбуждения;ee85aea934b742d6990d115a884a6334
80cf963db1a34457a573d55621f47450;Масляный выключатель;937f70ca22af443aa5d7ca192a98bf78
f45e3e8502a84b9cb69ccd2d534ce55b;ВРС-110-III-31,5/2500-УХЛ1;937f70ca22af443aa5d7ca192a98bf78
9199d2c34b9647faa977783991aabd66;элегазовый выключатель;937f70ca22af443aa5d7ca192a98bf78
f625926d23274ff7966b992fd6f8a6ef;Цифровая тиристорная;ee85aea934b742d6990d115a884a6334
8e8a07467ff245d5b5401d4f565ace41;элегазовый выключатель;937f70ca22af443aa5d7ca192a98bf78
1000123e00000000c0000000006d746c;Тепловая электростанция;
8aa1e5c2618d44728ec9a27cf5b99189;ПБВ;
1000124400000000c0000000006d746c;Гидроэлектростанция;
ba26d65c4e2344f7ae890c30306fd9c6;Фотоэлектрический модуль 265 Вт ИС 2.1;d5e03cf4214447ecabd08000f19e3ea8
50e2edd031a64f5882d5afed3314ab4e;АС 600/72;66f17f3547d24b6fae87767172f7e7d1
1000131d00000000c0000000006d746c;Ответвитель нейтрали;
a93b73c335ce4272aca81f6e41e013f3;Газопоршневой агрегат;
7ed2410272d04dc78287a78b627eeba3;Одновальная;6030f5cef7344574a15944162cef3179
1000134e00000000c0000000006d746c;Трансформаторная подстанция;
1000126e00000000c0000000006d746c;Парогазовая электростанция;
10000cd200000000c0000000006d746c;Разъединитель;0c4b941ca4dc4187a15bcedca045212b
165aa817b5454695915a61e201757b10;AVR-2 ;0552209d4e4c46749171a6b369ca71e6
61faa54529624931ab1ffa2c4b39a98e;Ограничитель перенапряжения;937f70ca22af443aa5d7ca192a98bf78
10000d1000000000c0000000006d746c;Шунтирующий реактор;ceef3e582f7a41199b7f1c942407c262
eac044d8dbc04988a9c358d12343e4db;Гидротурбинный агрегат;
b0e1f95a65b5450e8e85de46efbd5f93;Тиристорная система независимого возбуждения;ee85aea934b742d6990d115a884a6334
10000cde00000000c0000000006d746c;Кабельное соединение;
f0f051634caa418a9e2441f1011bc506;СТН-2В-410-2530-2 УХЛ4;ee85aea934b742d6990d115a884a6334
8122fc6a96504c27bba198976d40a35b;В составе ПГУ;6030f5cef7344574a15944162cef3179
3a723275fa8f40758b234fc3682f86f6;АСК-240;66f17f3547d24b6fae87767172f7e7d1
55d3da2d7e814fe5a94655be796141f3;СТС-2В-470-2150-2,5 УХЛ4;ee85aea934b742d6990d115a884a6334
423fef7bfb6f4e9592ee4b06e2c47ec3;Бесщеточная диодная система возбуждения;ee85aea934b742d6990d115a884a6334
74b9a2b6549c4aa9819a789974c736d3;Дизельный агрегат;
b16547927858496bb3ec3a034862d190;СТСР-1П-310-1900-2,5 УХЛ4 ;ee85aea934b742d6990d115a884a6334
1000173000000000c0000000006d746c;Короткозамыкатель;
b960bb2a6bc442489cc4b4704db69b0f;штепсельный, силовой типа РВР-10/4000;0c4b941ca4dc4187a15bcedca045212b
a2350e7315b84442be0fb5463159185b;Бесщеточная система возбуждения;ee85aea934b742d6990d115a884a6334
dc633325353844ca95019f45d0ef194a;РЛНДЗ-2-110У/1000 (ЛСНХ ВЗВА г.Великие Луки);0c4b941ca4dc4187a15bcedca045212b
629272e3458d4e0b9e02c8fd5b2fd647;ОД-110/600 (ЛСНХ ВЗВА г.Великие Луки);0c4b941ca4dc4187a15bcedca045212b
87f1d7d67c7144ea869966bcc79a0ffd;элегазовый выключатель;937f70ca22af443aa5d7ca192a98bf78
1000114d00000000c0000000006d746c;Выкатной предохранитель;
10000d1600000000c0000000006d746c;Статический тиристорный компенсатор;
10000cea00000000c0000000006d746c;Линейный регулировочный трансформатор;
633cf231275e4e799bc0dc8393dbc5f9;Статический генератор реактивной мощности;fd97251d217d4dd28be8b3e7b276788a
f09a21375a13476e829bd2095f5aec92;Сдвоенный токоограничивающий реактор;8501025c4a924617acb1ff2e0567c99a
f863a87268804e998ba26250573ef326;ТРДН;9f826625a1b2470e84e90981d16aea03
b0387f8d90dc4af59a81e4b48ff6fb09;Группа ветроэнергетических установок;
10000cb900000000c0000000006d746c;Автотрансформатор;
