about;name;sizeDescription;material;radius;diameterOverJacket;diameterOverCore;diameterOverInsulation;tapeThickness;sheathThickness;constructionKind;outerJacketKind;insulationEr;insulationErShield;shieldMaterial;shieldIsTransposed;shieldCrossSection;shieldGrounding;crossSection;underShieldScreenThickness;radialMoistureBarrierThicknes
f4e7151504b54ccc85725a6dfdea7959;ÀÏâÏó2ã-1õ350/95-64/110;ÀÏâÏó2ã 1õ350/95-64/110;WireMaterialKind.aluminum;0.01115;0.07;;;0.0011;;;;11.5;7.3;WireMaterialKind.aluminum;false;9.5E-05;;0.00035;0.001;0.00106
cdc2a03fe10741138fb3827ed2c6bc90;ÏâKaÏíã(A)2ãæ-HF-1x1600/95(îâ);ÏâKaÏíã(A)2ãæ-HF 1x1600/95(îâ);WireMaterialKind.copper;0.0245;0.113;;;0.001;;;;2.3;2.5;WireMaterialKind.copper;true;9.5E-05;;0.0016;;0.0032
86b0714f51234adc95a1fd8f0f22137b;ÀÏâÏó2ã-1-õ-630/95-64/110;ÀÏâÏó2ã-1 õ 630/95-64/110;WireMaterialKind.aluminum;0.0148;0.07518000000000001;;;0.001;;WireMaterialKind.aluminum;;2.3;2.3;WireMaterialKind.aluminum;false;9.5E-05;WireMaterialKind.aluminum;0.00063;0.001;0.00025
afeeac24e11f443f825ad49cfd5adfd6;ÀÏâÏó-3*150/50-10;ÀÏâÏó 3*150/50-10;WireMaterialKind.aluminum;0.0327;0.0654;;;0.0006;;;;2.4;2.4;WireMaterialKind.aluminum;false;5E-05;WireMaterialKind.aluminum;0.00015;0.0002;
492dd6e0c4854e95b1417b874a80ce14;ÏâÁÏ;ÏâÁÏ;WireMaterialKind.copper;;0.0804;;;0.0001;;WireMaterialKind.copper;;;;WireMaterialKind.copper;false;5E-05;WireMaterialKind.copper;0.00024;;
e5cbc88bd5c447ecb1f3cf7513af429b;ÀÏâÏÓ2r-1õ185-(ãæ)/70-64/110-êÂ;ÀÏâÏÓ2r 1õ185 (ãæ)/70-64/110 êÂ;WireMaterialKind.aluminum;0.025;0.0531;;;0.0011200000000000001;;;;;;;true;7E-05;;0.000185;;0.003
a7e555515d8346e29f9f0466340b9ea9;2. ÀÏâÏó2ã-1õ350/120-64/110;ÀÏâÏó2ã-1õ350/120-64/110;WireMaterialKind.aluminum;0.01115;0.07;;;0.0011;;;;11.5;7.3;;false;0.00012;;0.00035;0.001;0.00106
95c3043d53634f7ab760721fa19618fd;ÀÏâÏÃ-240;ÀÏâÏÃ-240;WireMaterialKind.aluminum;0.019899999999999998;0.035;;;0.01;;;;1;1;WireMaterialKind.aluminum;false;3.5E-05;WireMaterialKind.aluminum;0.00012;0.01;0.01
d2bfdc4c34a84a47a7e1cfc939aa9f45;ÀÏâÏó2ã-æ1õ800/150-64/110;ÀÏâÏó2ã æ1õ800/150-64/110;WireMaterialKind.aluminum;0.017;0.069;;;0.0011;;;;11.5;7.3;;false;0.00015;;0.0008;0.0011;0.0003
09075ca81ae3403b99515f74e59921fe;ÀÏâÏó2ã-1*500;ÀÏâÏó2ã1*500;WireMaterialKind.aluminum;0.013300000000000001;0.0713;;;0.001;;WireMaterialKind.aluminum;;;;;true;0.000185;WireMaterialKind.aluminum;0.0005;0.001;
a38cb9111d484493a0f5d6638b4b6675;ÀÑÁ2ë-3õ240(îæ)-10;ÀÑÁ2ë 3õ240(îæ)-10;WireMaterialKind.aluminum;0.0088;0.0654;;;0.00125;;;;;;;false;;WireMaterialKind.aluminum;0.00024;;
61ee1af02a974e28bd42e4b00719be25;ÀÏâÏó2ã 1õ1000ãæ/210-64/110 êÂ (1);ÀÏâÏó2ã 1õ1000ãæ/210-64/110 êÂ (1);WireMaterialKind.aluminum;0.019;0.09190000000000001;0.09190000000000001;0.0701;0.0001;0;WireMaterialKind.aluminum;;2.3;2.3;WireMaterialKind.aluminum;;0.00021;;0.001;0.0011;0
ed92b8f94428471fbd221868383ff32b;FXLJ-1?1200/185-220-êÂ;FXLJ-1*1200/185-220 êÂ;WireMaterialKind.copper;0.022;0.109;;;0.0012;;;;2.5;2.3;WireMaterialKind.copper;true;0.000185;WireMaterialKind.copper;0.0012;0.0012;0.0002
bfd8bed38eb44d05a4956038c23e8cf5;ÏâÏó2ã-1*1000(ãæ)-/-265(îæ)-64-110êÂ;ÏâÏó2ã 1*1000(ãæ) / 265(îæ)-64-110êÂ;WireMaterialKind.copper;0.018949999999999998;0.09720000000000001;;;0.0012;;WireMaterialKind.copper;;2.5;2.3;WireMaterialKind.copper;false;0.000265;;0.001;0.0012;0.0002
6dcecc5d120a435484e54a1ddb7e4772;ÀÏâÏ2ã 1õ630/150;Êàáåëü ÀÏâÏ2ã 1õ630/150 - 10êÂ;WireMaterialKind.aluminum;0.0515;;;;;;WireMaterialKind.aluminum;;;;WireMaterialKind.aluminum;;0.00015;;0.00063;;0.0002
21edac1b1c4e4b09a7a94e7e70cb49cf;2XS(FL)-2Y-M-OF-1x1600-RMS/265-127/220kV;2XS(FL)-2Y-M-OF 1x1600 RMS/265-127/220kV;WireMaterialKind.copper;0.02425;0.12029999999999999;;;0.0012;;;;2.5;2.3;;false;0.000265;;0.0016;0.0012;0.0002
b969c6a817bb494b956573aed2a47847;ÏâÏó2ãæ;ÏâÏó2ãæ;WireMaterialKind.copper;;;;;0.0006;;;;;;WireMaterialKind.copper;false;0.00015;;0.00024;;0.0001
b7ff189c94fa4efea1ff940a48398985;ÏâÏó2ã-1õ400-(ãæ)-240-(îâ)-–-64/110;ÏâÏó2ã 1õ400 (ãæ) 240 (îâ) – 64/110;WireMaterialKind.copper;0.011550000000000001;0.085;;;0.0012;;WireMaterialKind.copper;;2.5;2.3;;false;0.00024;WireMaterialKind.copper;0.0004;0.0012;0.0002
415eccfe78ca41559e3f4fe7d450f82a;1. ÀÏâÏó2ã-1õ350/120-64/110;ÀÏâÏó2ã 1õ350/120-64/110;WireMaterialKind.aluminum;0.01105;0.0712;;;0.0011;;WireMaterialKind.aluminum;;;;WireMaterialKind.aluminum;false;0.00012;WireMaterialKind.aluminum;0.00035;0.001;0.00106
36fe230f3c0d44cb907bb3ea82971ca8;A2XS(FL)2Y-1õ400-RM/60-127/220-(Nexans);A2XS(FL)2Y 1õ400 RM/60 127/220 (Nexans);WireMaterialKind.aluminum;0.011300000000000001;0.091;;;0.00134;;;;;;WireMaterialKind.aluminum;false;6E-05;WireMaterialKind.aluminum;0.0004;;0.0002
25353d4b1073486d9b90bbcbf6fb13a9;ÀÏâÏïó2ã-1õ2000cãæ/185îâ-64/110-êÂ;ÀÏâÏïó2ã 1õ2000cãæ/185îâ-64/110 êÂ;WireMaterialKind.aluminum;0.0001;0.0496;;;0.006;;;;2.3;2.5;;true;0.000185;;0.002;0.000001;1.5e-7
c65a4a895f324d858c3f784142acbfa8;XLPE-127/220kV-1*1200-Milas-265+ofs;XLPE 127/220kV-1*1200 Milas 265+ofs;WireMaterialKind.copper;0.0215;0.118;;;0.0012;;WireMaterialKind.copper;;2.5;2.3;WireMaterialKind.copper;true;0.000265;WireMaterialKind.copper;0.0012;0.0012;0.0002
53a7a8093416409388995374db5a4963;HXCHBMR-2F-1x1600/195;HXCHBMR-2F 1x1600/195;WireMaterialKind.copper;0.02495;0.10208;;;0.001;;;;;;WireMaterialKind.copper;true;0.000195;WireMaterialKind.copper;0.0016;;0.0002
432af263667a41d5b1a5027f1a006b87;2. ÀÏâÏó2ãæ-1õ300/70-64/110;ÀÏâÏó2ãæ 1õ300/70-64/110;WireMaterialKind.aluminum;1.019;0.0698;;;0.001;;WireMaterialKind.aluminum;;11.5;7.3;WireMaterialKind.aluminum;false;7E-05;WireMaterialKind.aluminum;0.0003;0.001;0.00016
9c292f2c528d462f9d4f2bedcb355d2d;ÀÏâÂíã-2ã-3(1õ500);ÀÏâÂíã 2ã 3(1õ500);WireMaterialKind.aluminum;;;;;0.0263;;;;;2.4;WireMaterialKind.aluminum;false;0.00012;;0.0005;;
68613610763f46fdad8322f379efb1de;ÏâÏó2ãæ-1õ630/240-îâìì-2õ4-64/110;ÏâÏó2ãæ 1õ630/240 îâìì 2õ4-64/110;WireMaterialKind.copper;0.0162;0.08220999999999999;;;0.00114;;;;;;;true;0.00024;;0.00063;;0.0002
70911340bc774da7bd553ff6086f1a66;2XS(FL)2Y-LWL-1*1200RMS/265-127/220-kV;2XS(FL)2Y-LWL 1*1200RMS/265-127/220 kV;WireMaterialKind.copper;0.0225;0.118;;;0.0016;;;;2.5;2.3;;true;0.000265;;0.0012;0.0012;0.0002
e24885ce972f4db081d4a581ee67290e;ÀÏâÂíã2ã-À;ÀÏâÂíã2ã-À;WireMaterialKind.aluminum;0.033;56.15;;0.017;;;;;;;;false;3.5E-05;;0.00024;;
3beb8cc1a83749f7abed69cf19bdbb2b;2. À2XS(FL)2Y-1õ300RM/50-64/110;À2XS(FL)2Y 1õ300RM/50-64/110;WireMaterialKind.aluminum;1.019;0.0698;;;0.001;;WireMaterialKind.aluminum;;11.5;7.3;WireMaterialKind.aluminum;false;5E-05;WireMaterialKind.aluminum;0.0003;0.001;0.00016
bd67534cc65d4f88be858bd550f2cf6c;1. ÀÏâÏó2ãæ-1õ300/70-64/110;ÀÏâÏó2ãæ 1õ300/70-64/110;WireMaterialKind.aluminum;0.01019;0.0698;;;0.001;;;;11.5;7.3;WireMaterialKind.aluminum;false;7E-05;;0.0003;0.001;0.00016
adead6cac4a847e1a6eecd1d44a5cc39;ÀÏâÏó2ã-1õ500/95-64/110;ÀÏâÏó2ã 1õ500/95-64/110;WireMaterialKind.aluminum;0.0134;0.077;;;0.0011;;;;11.5;7.3;;false;9.5E-05;;0.0005;0.001;0.0003
