about;name;AssetTypes
55d3da2d7e814fe5a94655be796141f3;СТС-2В-470-2150-2,5 УХЛ4;ee85aea934b742d6990d115a884a6334
423fef7bfb6f4e9592ee4b06e2c47ec3;Бесщеточная диодная система возбуждения;ee85aea934b742d6990d115a884a6334
b16547927858496bb3ec3a034862d190;СТСР-1П-310-1900-2,5 УХЛ4 ;ee85aea934b742d6990d115a884a6334
a2350e7315b84442be0fb5463159185b;Бесщеточная система возбуждения;ee85aea934b742d6990d115a884a6334
633cf231275e4e799bc0dc8393dbc5f9;Статический генератор реактивной мощности;fd97251d217d4dd28be8b3e7b276788a
f09a21375a13476e829bd2095f5aec92;Сдвоенный токоограничивающий реактор;8501025c4a924617acb1ff2e0567c99a
f863a87268804e998ba26250573ef326;ТРДН;9f826625a1b2470e84e90981d16aea03
38066ac7191c42debd777ac75330acfe;;7f4c1553779246c8ba437c62b3b160ec
f68ccbb02f244b7dbe0adf84363e68ea;;9f826625a1b2470e84e90981d16aea03
5282a252a5f04b0d80084845af415da5;СТН-2В-410-2530-2 УХЛ4;ee85aea934b742d6990d115a884a6334
3a0503a05e5648f381cb0c4858cd8bc0;Двухгрупповая параллельного самовозбуждения;ee85aea934b742d6990d115a884a6334
7caf053438204381a4c9cad6fe89c4b6;СТС-2П-210-1900-2,5 УХЛ4 ;ee85aea934b742d6990d115a884a6334
100012f100000000c0000000006d746c;Выкатной выключатель с ОПН;937f70ca22af443aa5d7ca192a98bf78
10000d2200000000c0000000006d746c;Управляемый шунт. реактор с БСК;6f2390978ed84e29a6820c4eaafa048d
375b820d32cb4d389016ef3b6c67509b;СТС-2П-310-1900-2,5 ;ee85aea934b742d6990d115a884a6334
26a56fa4748b4046b73abab4620f6e02;Тиристорная система самовозбуждения;ee85aea934b742d6990d115a884a6334
e7b5d19f75b1462caa10b6f38826430d;Одномашинная система электромашинного возбуждения с возбудителем постоянного тока;ee85aea934b742d6990d115a884a6334
bbcde4d0f83c4b24bf936920c1374e22;КВсгОСР-RA-460-2500-D11-8-УХЛ4 ;ee85aea934b742d6990d115a884a6334
